1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
0.44499364,0.5220634,0.6491753,0.7942633,0.99077517,1.1414084,1.451799,1.7290679,1.8759718,2.218212,2.5602195
0.4327943,0.509326,0.6353525,0.78037363,0.9773226,1.1285261,1.4388291,1.7173356,1.8658204,2.2097592,2.5538764
0.4378341,0.5145896,0.64105093,0.78611064,0.98279697,1.1336445,1.4438863,1.7218604,1.8696591,2.2128956,2.5562158
0.4091687,0.48459947,0.6084394,0.7533014,0.9509357,1.1031286,1.4129927,1.6938804,1.8456318,2.1929448,2.5412667
0.41324058,0.48886567,0.61305827,0.7579701,0.95533925,1.1071473,1.416914,1.6973556,1.8484844,2.195217,2.5429442
0.4527054,0.5301013,0.65781444,0.8029805,0.99882853,1.1485645,1.4585214,1.7349105,1.8807377,2.2219207,2.562944
0.5299134,0.6102239,0.74421597,0.8896048,1.0824652,1.2290946,1.538484,1.8071039,1.9447135,2.2755752,2.6033397
0.6488005,0.73254085,0.8744905,1.0205733,1.2087152,1.3522242,1.6578373,1.914762,2.0436735,2.3592489,2.6663415
0.7889695,0.87591475,1.0247289,1.1732839,1.3555481,1.4964923,1.7930163,2.0362062,2.1586564,2.456334,2.7387881
1.0246274,1.1174457,1.2732656,1.4294665,1.6014229,1.7370487,2.0086353,2.2272131,2.3431826,2.6100729,2.8509927
1.2033446,1.3023719,1.4610676,1.6234648,1.7880216,1.9162338,2.16247,2.359697,2.4714794,2.7137306,2.924108
1.3538607,1.4591727,1.6191633,1.7854532,1.9447168,2.0633414,2.2847216,2.4616706,2.5689123,2.7887511,2.9748936
1.4477018,1.5570801,1.7174368,1.8852865,2.041899,2.1528442,2.3573008,2.520535,2.6241012,2.828876,3.0008047
1.4981401,1.609634,1.7700552,1.9384586,2.0938888,2.2001092,2.3950353,2.5505352,2.6517768,2.848002,3.0126352
1.5952812,1.7105646,1.8708667,2.0398674,2.1935632,2.2896323,2.465435,2.6054256,2.7015297,2.8804176,3.0315878
1.6789467,1.797011,1.9569564,2.1260848,2.2789037,2.3651268,2.5236888,2.6496944,2.7406766,2.9036562,3.0438352
1.7205158,1.8397382,1.9994177,2.1685221,2.3211317,2.4020913,2.5518365,2.670688,2.7589004,2.913633,3.0485437
1.7519364,1.8719201,2.0313585,2.2004235,2.3529778,2.4298022,2.572779,2.6861389,2.7721694,2.9205227,3.0515265
1.8035967,1.9246342,2.0836105,2.2526007,2.4052548,2.475088,2.6067717,2.711026,2.7933688,2.9310625,3.0557075
1.8431836,1.9648305,2.1233923,2.292333,2.4452264,2.509507,2.6323946,2.7295856,2.809012,2.9383633,3.058208
1.8651904,1.9870929,2.1453993,2.3143222,2.4674113,2.528526,2.6464705,2.7396994,2.817472,2.9421153,3.059321
1.8713369,1.9932827,2.1515093,2.3204284,2.473584,2.5337653,2.6503139,2.7424011,2.8196886,2.9429672,3.0594652
1.8687332,1.990625,2.148874,2.3177934,2.4709284,2.531423,2.6485438,2.7410502,2.818502,2.942272,3.059125
1.8789524,2.0009265,2.1590462,2.327962,2.4812093,2.5401874,2.6549923,2.7456305,2.8222947,2.9438336,3.059484
1.8926207,2.0147028,2.1726491,2.3415651,2.494973,2.5519483,2.663654,2.7518206,2.8274472,2.9460323,3.0600512
1.9182324,2.0404978,2.1981156,2.3670456,2.5207887,2.5740604,2.6799462,2.7635412,2.8372576,2.950372,3.0612817
1.9442903,2.0666876,2.223958,2.3929214,2.5470557,2.596562,2.696495,2.7754724,2.8472607,2.9548306,3.062551
1.9684705,2.0909464,2.2478838,2.4168968,2.5714364,2.617464,2.7118487,2.7865832,2.8566036,2.9590642,3.063793
1.9960854,2.1185975,2.2751427,2.4442346,2.5992846,2.6413546,2.7293744,2.799312,2.8673384,2.9640055,3.0652826
2.0248888,2.1473892,2.303516,2.472715,2.628345,2.6663277,2.7476823,2.8126945,2.8786807,2.969381,3.067005
2.0355551,2.158055,2.31403,2.4832723,2.6391237,2.6756356,2.754522,2.817757,2.8830123,2.9715586,3.0677962
2.0402267,2.162732,2.3186429,2.4879038,2.6438513,2.6797361,2.757544,2.820016,2.8849597,2.9725828,3.0682015
2.0590546,2.181524,2.337159,2.5065086,2.6628692,2.6961482,2.7695832,2.8289323,2.8925917,2.97642,3.069586
2.0767682,2.1991935,2.3545687,2.5240092,2.6807704,2.7116303,2.7809463,2.8374035,2.8998778,2.9801872,3.0710163
2.1044183,2.2267387,2.381702,2.5513008,2.7087152,2.735826,2.7986948,2.8507016,2.9113548,2.9862356,3.073382
2.1164088,2.2386644,2.3934445,2.5631201,2.7208292,2.7463143,2.8063796,2.8564725,2.916343,2.988883,3.0744255
2.134671,2.2568176,2.4113178,2.5811162,2.7392828,2.7623127,2.8181033,2.865318,2.9240136,2.9930284,3.076108
2.1501179,2.2721672,2.4264314,2.596338,2.754897,2.7758782,2.8280516,2.8728728,2.930594,2.9966743,3.077647
2.149609,2.2716362,2.4258986,2.5958092,2.754364,2.7753665,2.827649,2.8725114,2.930246,2.9963708,3.07744
2.1396587,2.2617247,2.4161296,2.5859773,2.7442873,2.7665625,2.8211653,2.8675296,2.9258723,2.993833,3.0762875
2.1356497,2.2577348,2.412199,2.5820203,2.7402306,2.763029,2.8185682,2.865548,2.9241402,2.992854,3.0758603
2.1372306,2.2593036,2.4137428,2.5835757,2.7418265,2.7644107,2.8195786,2.866309,2.9247994,2.993207,3.0760005
2.147331,2.269346,2.4236326,2.5935354,2.7520413,2.7732956,2.8261006,2.8712738,2.9291313,2.9956307,3.0770407
2.171744,2.2936385,2.447569,2.617636,2.776756,2.794889,2.8419924,2.8835094,2.9398863,3.0019076,3.0799081
2.1914783,2.3132658,2.466909,2.6371129,2.7967355,2.8123834,2.8548765,2.893503,2.94871,3.0071862,3.0823984
2.198517,2.3202746,2.4738195,2.6440694,2.8038688,2.818655,2.8595078,2.8971307,2.9519327,3.0091798,3.0833817
2.2198596,2.341558,2.4948213,2.6651955,2.8255188,2.837782,2.8736777,2.908356,2.9619715,3.0156202,3.0866997
2.2500348,2.371687,2.5245767,2.6951003,2.856146,2.8649826,2.8938982,2.9245932,2.9766026,3.0253959,3.0919678
2.2612252,2.3829095,2.535684,2.706237,2.867529,2.8751976,2.9015512,2.9308732,2.98233,3.0294664,3.0943053
2.257726,2.3794441,2.5322728,2.702798,2.863996,2.8721025,2.8992758,2.9290853,2.9807415,3.0284805,3.0938208
2.2429676,2.3647163,2.517728,2.688182,2.849027,2.8588026,2.8893876,2.9211204,2.973555,3.023639,3.0911906
2.2186072,2.3404245,2.4937508,2.664073,2.8243227,2.83693,2.873164,2.9081743,2.9619334,3.01602,3.0871713
2.2162168,2.3380451,2.4914045,2.6617115,2.821901,2.834797,2.8715875,2.906931,2.960825,3.0153198,3.0868173
2.211297,2.3331404,2.4865644,2.6568434,2.816912,2.8303897,2.8683233,2.9043438,2.958511,3.0138335,3.0860507
2.226802,2.3485851,2.5017998,2.6721718,2.8326266,2.8442552,2.8785827,2.9124634,2.9657657,3.018469,3.0884256
2.2249565,2.3467202,2.4999495,2.670321,2.8307395,2.8425424,2.8772879,2.911385,2.9647725,3.0177333,3.0879853
2.217327,2.3390985,2.4924214,2.6627557,2.8229923,2.8356655,2.8721762,2.9072921,2.9610898,3.0152917,3.0866792
2.2009058,2.3227205,2.476259,2.6464994,2.8063343,2.8209462,2.86127,2.89865,2.95336,3.0103276,3.0841181
2.2017457,2.3235497,2.477074,2.6473224,2.8071806,2.8216784,2.8618033,2.8990545,2.953712,3.0105197,3.084196
2.1846974,2.3065724,2.4603333,2.630473,2.7899046,2.8064892,2.8505864,2.8902705,2.9459105,3.0056965,3.08182
2.1675274,2.2894814,2.4434876,2.613514,2.7725136,2.791249,2.8393526,2.8815496,2.938206,3.00107,3.0796235
2.1564214,2.2784307,2.4325988,2.6025503,2.7612708,2.781424,2.8321216,2.8759782,2.933307,2.998204,3.07831
2.1482646,2.27031,2.4245963,2.5944946,2.753012,2.7742085,2.8268096,2.8718927,2.929718,2.9961157,3.077359
2.1597943,2.281781,2.4358976,2.6058736,2.7646806,2.7843914,2.8342986,2.8776405,2.9347599,2.9990249,3.0786667
2.184085,2.3059397,2.4597008,2.6298442,2.7892685,2.8058896,2.8501205,2.8898609,2.9455214,3.0053709,3.0816045
2.2050102,2.3267543,2.4802148,2.650501,2.8104584,2.8244796,2.8638256,2.9005508,2.9549918,3.011143,3.0843942
2.2286959,2.3503294,2.5034614,2.6739018,2.8344567,2.8456202,2.879449,2.9128742,2.9659812,3.0180874,3.087903
2.2645726,2.3860934,2.5387619,2.7093992,2.8708317,2.877867,2.903381,2.9320617,2.9832501,3.0295563,3.0940359
2.2861953,2.407662,2.5600638,2.730802,2.8927503,2.8973765,2.9179013,2.9438417,2.9939175,3.0368812,3.0980904
2.312416,2.433869,2.5859773,2.7567956,2.9193366,2.9211764,2.9356952,2.9584775,3.0072658,3.0464027,3.1035628
2.3396556,2.4611313,2.6129608,2.7838163,2.9469397,2.9459965,2.9543252,2.9739833,3.021488,3.056866,3.1097505
2.3982453,2.5199769,2.6713402,2.8420317,3.0062335,2.9997826,2.995054,3.0086045,3.0535562,3.0817535,3.1251605
2.6194255,2.7458725,2.8984776,3.0623136,3.2267864,3.206763,3.159336,3.1574862,3.1954212,3.2109423,3.214722
3.7484405,3.8802066,4.1321754,4.2374973,4.3591166,4.4191613,4.306747,4.260598,4.247537,4.3726773,4.1689763
4.0147424,4.157488,4.474969,4.61776,4.8626957,4.9208355,4.8158393,4.7349253,4.657739,4.740073,4.487333
4.057972,4.206709,4.5336103,4.6802125,4.958837,5.0149403,4.9168406,4.829337,4.73232,4.811175,4.5419397
4.060002,4.208719,4.535497,4.6817055,4.959912,5.016005,4.917845,4.830298,4.7332687,4.811982,4.5427246
4.0832825,4.2349253,4.566029,4.712849,5.0078807,5.062937,4.9688287,4.878306,4.7706695,4.848583,4.570273
4.011204,4.152585,4.4675198,4.608331,4.8452115,4.903702,4.797054,4.7174597,4.6440463,4.7268715,4.4771523
3.757016,3.8884327,4.1398025,4.245171,4.366128,4.4257145,4.3121843,4.2654634,4.2516046,4.3755436,4.171148
3.3381844,3.4826574,3.6859639,3.765594,3.8781443,3.914526,3.831808,3.7989,3.821014,3.9481657,3.79473
3.2623029,3.4077647,3.6049302,3.6867118,3.804828,3.8326106,3.7542746,3.7238326,3.750226,3.8664932,3.7272227
3.2361739,3.3818128,3.5768018,3.6600878,3.7803707,3.8048644,3.7276917,3.698269,3.7259035,3.8376293,3.7036421
2.957126,3.098453,3.2691185,3.3894796,3.5357091,3.5252047,3.4519548,3.436824,3.4708035,3.5231576,3.4533727
2.6906736,2.8194978,2.9736998,3.1325107,3.295483,3.2732291,3.2152898,3.2100573,3.246371,3.2626386,3.2526383
2.5432606,2.6669517,2.8181853,2.9862635,3.1517065,3.1343496,3.0996823,3.101433,3.1411371,3.1572793,3.1757371
2.4574718,2.579485,2.7304466,2.9007301,3.0658514,3.0540493,3.0364268,3.0442786,3.0867755,3.1084607,3.142154
2.444415,2.5662389,2.7172189,2.887704,3.0526962,3.0418665,3.0269828,3.0359013,3.0788682,3.1016767,3.1376233
2.4651873,2.587271,2.7382026,2.9083889,3.0736,3.0611646,3.0419095,3.0490909,3.0912921,3.1122494,3.1446424
2.5266924,2.6498923,2.8009524,2.9696825,3.1351936,3.1186333,3.0870352,3.0897267,3.129881,3.1466155,3.1681592
2.5635273,2.687606,2.8389428,3.006352,3.1717813,3.1531532,3.1146512,3.1150417,3.1541035,3.1691785,3.184022
2.5778742,2.7023177,2.8537953,3.020605,3.1859536,3.1665761,3.1254847,3.1250296,3.1636834,3.1782568,3.1904645
2.5983684,2.7233799,2.8751101,3.0409496,3.206119,3.185767,3.1411023,3.1395113,3.1776114,3.1916676,3.2000632
2.6336117,2.759772,2.9121215,3.075903,3.240552,3.2188704,3.1684842,3.1651707,3.2024186,3.216258,3.2179294
